NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
126	HOLE	SPATIAL_RELATIONS	1667	HOLE
127	HONEY	FOOD_AND_DRINK	942	HONEY
128	HOPLIAS (GENUS)	ANIMALS	3933	HOPLIAS (GENUS)
129	HORN (ANATOMY)	THE_BODY	1393	HORN (ANATOMY)
130	HORNED SCREAMER SP.			
131	HOUSE	THE_HOUSE	1252	HOUSE
132	HOWLER MONKEY	ANIMALS	433	HOWLER MONKEY
994	HYACINTH MACAW	ANIMALS		
133	I	KINSHIP	1209	I
134	IGUANA	ANIMALS	1578	IGUANA
135	INTESTINES		1991	INTESTINES
136	IRON	BASIC_ACTIONS_AND_TECHNOLOGY	621	IRON
137	JABIRU (Jabiru mycteria)	ANIMALS		
138	JAGUAR		1250	JAGUAR
139	JARARACUSSU			
140	KILL	THE_BODY	1417	KILL
141	KINGFISHER	ANIMALS	2444	KINGFISHER
142	KNEE		1371	KNEE
143	LAKE	THE_PHYSICAL_WORLD	624	LAKE
144	LAUGH		1355	LAUGH
145	LEAF	AGRICULTURE_AND_VEGETATION	628	LEAF
146	LEG		1297	LEG
147	LIANA	AGRICULTURE_AND_VEGETATION	2388	LIANA
148	LIE DOWN	SPATIAL_RELATIONS	215	LIE DOWN
149	LIGHT (IGNITE)	THE_PHYSICAL_WORLD	737	LIGHT (IGNITE)
1448	LIP	THE_BODY	478	LIP
1449	LIP HOLE			
150	LIVER	THE_BODY	1224	LIVER
151	LIZARD	ANIMALS	632	LIZARD
152	LOOK		1819	LOOK
153	MAIZE		506	MAIZE
154	MAN		1554	MAN
155	MANED WOLF			
156	MANGABA			
157	MANIOC	AGRICULTURE_AND_VEGETATION	927	MANIOC
158	MONKEY	ANIMALS	1350	MONKEY
159	MOON	THE_PHYSICAL_WORLD	1313	MOON
160	MOSQUITO	ANIMALS	1509	MOSQUITO
161	MOTHER	KINSHIP	1216	MOTHER
162	MOUNTAIN	THE_PHYSICAL_WORLD	639	MOUNTAIN
163	MOUTH	THE_BODY	674	MOUTH
164	MUD	THE_PHYSICAL_WORLD	640	MUD
165	NECK	THE_BODY	1333	NECK
166	NIGHT	TIME	1233	NIGHT
167	NOSE	THE_BODY	1221	NOSE
168	OLDER BROTHER	KINSHIP	1759	OLDER BROTHER
169	OPOSSUM	ANIMALS	309	OPOSSUM
170	OSTRICH	ANIMALS	3797	OSTRICH
171	OTTER	ANIMALS	15	OTTER
172	OWL	ANIMALS	735	OWL
173	PACA	ANIMALS	316	PACA
174	PACU	ANIMALS	3922	PACU
175	PARAKEET	ANIMALS	886	PARAKEET
176	PARROT	ANIMALS	882	PARROT
177	PATH OR ROAD	MOTION	2457	PATH OR ROAD
178	PEACH PALM	AGRICULTURE_AND_VEGETATION	3919	PEACH PALM
179	PECCARY	ANIMALS	2390	PECCARY
180	PENELOPE (BIRD)	ANIMALS		
181	PENIS	THE_BODY	1222	PENIS
182	PESTLE	FOOD_AND_DRINK	225	PESTLE
183	PIABA-AÇU			
184	PIERCE	BASIC_ACTIONS_AND_TECHNOLOGY	398	PIERCE
185	PIRANHA	ANIMALS	317	PIRANHA
186	PIRAPUTANGA			
187	PIUVA			
188	PUMA	ANIMALS	1891	PUMA
189	PUMPKIN	AGRICULTURE_AND_VEGETATION	864	PUMPKIN
190	RAIN (PRECIPITATION)	THE_PHYSICAL_WORLD	658	RAIN (PRECIPITATION)
191	RAIN (PRECIPITATION)			
192	RAT	ANIMALS	1490	RAT
193	RATTLE	SPEECH_AND_LANGUAGE	300	RATTLE
194	RATTLE MADE OF PECCARI NAILS			
195	RATTLESNAKE		871	RATTLESNAKE
196	RED HOWLER MONKEY			
197	RED-AND-GREEN MACAW	ANIMALS	3938	RED-AND-GREEN MACAW
198	RIVER	THE_PHYSICAL_WORLD	666	RIVER
199	ROPE	BASIC_ACTIONS_AND_TECHNOLOGY	1218	ROPE
200	SALIVA	THE_BODY	1503	SALIVA
201	SALT		1274	SALT
202	SAND	THE_PHYSICAL_WORLD	671	SAND
203	SCALE	ANIMALS	266	SCALE
204	SEED	AGRICULTURE_AND_VEGETATION	714	SEED
205	SHELL	ANIMALS	598	SHELL
206	SHOULDER		1482	SHOULDER
207	SING		1261	SING
208	SKIN	THE_BODY		SKIN
209	SKY	THE_PHYSICAL_WORLD	1732	SKY
210	SLEEP	THE_BODY	1585	SLEEP
211	SLEEP (STATE)	BASIC_ACTIONS_AND_TECHNOLOGY	2972	SLEEP (STATE)
212	SLOTH	ANIMALS		
213	SMALL ANTEATER			
214	SMOKE (EXHAUST)	THE_PHYSICAL_WORLD	778	SMOKE (EXHAUST)
215	SNAIL	ANIMALS	1543	SNAIL
216	SNAKE	ANIMALS	730	SNAKE
217	SOLE (FOOT)	THE_BODY	2666	SOLE (FOOT)
218	SON			SON
219	SORUBIM			
220	SPEAK	SPEECH_AND_LANGUAGE	1623	SPEAK
221	SPIDER	ANIMALS	843	SPIDER
222	SQUIRREL	ANIMALS	1628	SQUIRREL
223	STAR		1430	STAR
224	STINGRAY	ANIMALS	1910	STINGRAY
225	STONE	THE_PHYSICAL_WORLD	857	STONE
226	STRAW			
227	SUN	THE_PHYSICAL_WORLD	1343	SUN
2218	SWEAT	THE_BODY	125	SWEAT (SUBSTANCE)
228	SWEET POTATO	AGRICULTURE_AND_VEGETATION		
229	SWIM	MOTION	1439	SWIM
230	TAIL	THE_BODY	1220	TAIL
231	TAPIR	ANIMALS	312	TAPIR
232	TELL		1711	TELL
233	TERMITE	ANIMALS	883	TERMITE
234	THIGH	THE_BODY	800	THIGH
235	THORN		124	THORN
236	THOU		1215	THOU
237	THROAT	THE_BODY	1346	THROAT
238	TINAMOU	ANIMALS	3921	TINAMOU
239	TOBACCO	AGRICULTURE_AND_VEGETATION	974	TOBACCO
240	TONGUE	THE_BODY	1205	TONGUE
241	TOOTH		1380	TOOTH
