ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Bororo-253_wax-1-1,Bororo-253_wax-1,bori,153,false,expert,,- - - - b ɔ r i,SCA,,1
Otuke-241_tooth-1-1,Otuke-241_tooth-1,o,152,false,expert,,- - - - o,SCA,,1
Bororo-241_tooth-1-1,Bororo-241_tooth-1,o,152,false,expert,,- - - - o,SCA,,1
Umutina-241_tooth-1-1,Umutina-241_tooth-1,okopo,152,false,expert,,o k o p ɔ,SCA,,1
Otuke-94_finger-1-1,Otuke-94_finger-1,iuna,114,false,expert,,- j u n a,SCA,,1
Bororo-94_finger-1-1,Bororo-94_finger-1,ierako,114,false,expert,,ie r a k o,SCA,,1
Otuke-113_give-1-1,Otuke-113_give-1,iyura,127,false,expert,,i j u r a,SCA,,1
Bororo-113_give-1-1,Bororo-113_give-1,maky,126,false,expert,,m a k ɯ,SCA,,1
Bororo-206_shoulder-1-1,Bororo-206_shoulder-1,kiaroro,150,false,expert,,k ia r o r o,SCA,,1
Bororo-206_shoulder-2-1,Bororo-206_shoulder-2,kanaora,151,false,expert,,k a n ao r a,SCA,,1
Otuke-235_thorn-1-1,Otuke-235_thorn-1,meheta,149,false,expert,,m e h e t a,SCA,,1
Umutina-235_thorn-1-1,Umutina-235_thorn-1,boto,149,false,expert,,- - b o t o,SCA,,1
Bororo-223_star-1-1,Bororo-223_star-1,kuieje,147,false,expert,,k u j e dʒ e,SCA,,1
Otuke-223_star-1-1,Otuke-223_star-1,ukema,148,false,expert,,u k e m a,SCA,,1
Otuke-259_woman-1-1,Otuke-259_woman-1,vuaneti,62,false,expert,,v ua n e t i,SCA,,1
Bororo-259_woman-1-1,Bororo-259_woman-1,aredy,62,false,expert,,- a ɾ e d ɨ,SCA,,1
Otuke-70_daughter-1-1,Otuke-70_daughter-1,eno,3,false,expert,,e n - - - - - - o,SCA,,1
Bororo-70_daughter-1-1,Bororo-70_daughter-1,onaregody aredy,3,false,expert,,ʌ n a ɾ ɛ ɡ ɛ d ɨ,SCA,,1
Bororo-70_daughter-1-2,Bororo-70_daughter-1,onaregody aredy,6,false,expert,,a r e d ɨ,SCA,,2
Bororo-218_son-1-1,Bororo-218_son-1,onaregody,3,false,expert,,ʌ n a ɾ ɛ ɡ ɛ d ɨ,SCA,,1
Otuke-4_anteater-1-1,Otuke-4_anteater-1,apuhe,5,false,expert,,a p u h e,SCA,,1
Bororo-4_anteater-1-1,Bororo-4_anteater-1,apogo,5,false,expert,,a p o g o,SCA,,1
Umutina-4_anteater-1-1,Umutina-4_anteater-1,bʷɛ,5,false,expert,,- bʷ - - ɛ,SCA,,1
Otuke-105_forehead-1-1,Otuke-105_forehead-1,tʃoara,9,false,expert,,tʃ oa r a,SCA,,1
Bororo-105_forehead-1-1,Bororo-105_forehead-1,jeri,9,false,expert,,dʒ e r i,SCA,,1
Otuke-109_fruit-1-1,Otuke-109_fruit-1,boka,12,false,expert,,b o k a,SCA,,1
Bororo-109_fruit-1-1,Bororo-109_fruit-1,tydy,11,false,expert,,t ɯ d ɨ,SCA,,1
Otuke-35_boy-1-1,Otuke-35_boy-1,caoro,19,false,expert,,- - - tʃ ao r o,SCA,,1
Bororo-35_boy-1-1,Bororo-35_boy-1,ekygyre,19,false,expert,,e k ɯ g ɨ r e,SCA,,1
Otuke-142_knee-1-1,Otuke-142_knee-1,sĩ,22,false,expert,,s ĩ,SCA,,1
Otuke-64_cricket-1-1,Otuke-64_cricket-1,cecuve,92,false,expert,,tʃ e tʃ u v e,SCA,,1
Otuke-22_bean-1-1,Otuke-22_bean-1,karanahe,47,false,expert,,k a r a n a h e,SCA,,1
Kuruminaka-22_bean-1-1,Kuruminaka-22_bean-1,karina,47,false,expert,,k a r i n - - a,SCA,,1
Kuruminaka-22_bean-2-1,Kuruminaka-22_bean-2,kañahime,48,false,expert,,k a ɲ a h i m e,SCA,,1
Otuke-154_man-1-1,Otuke-154_man-1,vuani,145,false,expert,,v ua n i,SCA,,1
Umutina-154_man-1-1,Umutina-154_man-1,imedy,146,false,expert,,i m e d ɨ,SCA,,1
Otuke-135_intestines-1-1,Otuke-135_intestines-1,ceuru,144,false,expert,,tʃ eu r u,SCA,,1
Otuke-122_he-1-1,Otuke-122_he-1,ikica ano,139,false,expert,,i k i c a,SCA,,1
Otuke-122_he-1-2,Otuke-122_he-1,ikica ano,140,false,expert,,a n o,SCA,,2
Bororo-122_he-1-1,Bororo-122_he-1,ema,136,false,expert,,e m a,SCA,,1
Otuke-138_jaguar-1-1,Otuke-138_jaguar-1,ahi / anteko,142,false,expert,,a h i,SCA,,1
Kovareka-138_jaguar-1-1,Kovareka-138_jaguar-1,anteko,141,false,expert,,a n t e k - - - o,SCA,,1
Bororo-138_jaguar-1-1,Bororo-138_jaguar-1,adygo,141,false,expert,,a - d ɯ ɡʷ - - - ɔ,SCA,,1
Umutina-138_jaguar-1-1,Umutina-138_jaguar-1,aʒukujta,141,false,expert,,a - ʒ u k u j t a,SCA,,1
