ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Umutina-75_dove-1,,Umutina,75_dove,umitu / mitu,umitu,u m i t u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,DOVE,134,101
Umutina-75_dove-2,,Umutina,75_dove,umitu / mitu,mitu,m i t u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,DOVE,134,101
Otuke-75_dove-1,,Otuke,75_dove,ataxa,ataxa,a t a ʃ a,,de1912linguistique;monfort1913linguistique,,,,,DOVE,317,335
Bororo-77_drink-1,,Bororo,77_drink,kudu,kudu,k u d u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,DRINK,119,102
Umutina-77_drink-1,,Umutina,77_drink,kuta / akuta,kuta,k u t a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,DRINK,119,102
Umutina-77_drink-2,,Umutina,77_drink,kuta / akuta,akuta,a k u t a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,DRINK,119,102
Kovareka-77_drink-1,,Kovareka,77_drink,ko,ko,k o,,de1912linguistique;monfort1913linguistique,,,,,DRINK,119,102
Kuruminaka-77_drink-1,,Kuruminaka,77_drink,kututo,kututo,k u t u t o,,de1912linguistique;monfort1913linguistique,,,,,DRINK,119,102
Bororo-78_dry-1,,Bororo,78_dry,ki,ki,k i,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,DRY,108,103
Umutina-78_dry-1,,Umutina,78_dry,ki,ki,k i,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,DRY,108,103
Bororo-79_duck-1,,Bororo,79_duck,turubare,turubare,t u r u b a r e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,DUCK,173,104
Otuke-79_duck-1,,Otuke,79_duck,turupare,turupare,t u r u p a r e,,de1912linguistique;monfort1913linguistique,,,,,DUCK,173,104
Umutina-79_duck-1,,Umutina,79_duck,harumo,harumo,h a r u m o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,DUCK,173,104
